layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,target_dir,status,reason,pocket_source,n_chunks,sampling_seed,seed_base,lane
L1,P14902,250,5,245,2550,50,2500,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P14902,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P14902/P14902_pocket.lmdb,10,11110081085131811160,20260908,2.0
L1,P14920,250,5,245,714,14,700,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P14920,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P14920/P14920_pocket.lmdb,10,4293686407409812184,20260908,3.0
L1,P15056,250,5,245,2958,58,2900,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P15056,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P15056/P15056_pocket.lmdb,10,3931300767559048696,20260908,4.0
L1,P15121,250,5,245,918,18,900,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P15121,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P15121/P15121_pocket.lmdb,10,891411772062801556,20260908,5.0
L1,P15538,250,5,245,765,15,750,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P15538,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P15538/P15538_pocket.lmdb,10,11608432813511351759,20260908,6.0
L1,P16050,250,5,245,1989,39,1950,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P16050,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P16050/P16050_pocket.lmdb,10,12928565540148146073,20260908,
L1,P16083,250,5,245,816,16,800,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P16083,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P16083/P16083_pocket.lmdb,10,10766969464521564108,20260908,7.0
L1,P16110,250,5,245,663,13,650,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P16110,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P16110/P16110_pocket.lmdb,10,12726260956879817195,20260908,0.0
L1,P16234,250,5,245,1989,39,1950,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P16234,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P16234/P16234_pocket.lmdb,10,12257924727485580441,20260908,1.0
L1,P17252,250,5,245,1122,22,1100,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P17252,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P17252/P17252_pocket.lmdb,10,4391295228824022738,20260908,2.0
L1,P17706,250,5,245,867,17,850,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P17706,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P17706/P17706_pocket.lmdb,10,3491350393884140001,20260908,3.0
