layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,target_dir,status,reason,pocket_source,n_chunks,sampling_seed,seed_base,lane,sampled_from_n,previous_target_dir,n_cached_scores,n_cached_poses
L1,P08173,30,5,25,663,13,650,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P08173,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08173/P08173_pocket.lmdb,3,14840437010042207459,20260908,2.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08173,0,0
L1,P08238,30,5,25,1377,27,1350,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P08238,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08238/P08238_pocket.lmdb,3,10269397027548487778,20260908,3.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08238,0,0
L1,P08246,30,5,25,1479,29,1450,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P08246,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08246/P08246_pocket.lmdb,3,3621455549356467418,20260908,4.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08246,0,0
L1,P08253,30,5,25,714,14,700,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P08253,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08253/P08253_pocket.lmdb,3,8843778527038779072,20260908,5.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08253,0,0
L1,P08581,30,5,25,3366,66,3300,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P08581,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08581/P08581_pocket.lmdb,3,7889594881604705424,20260908,6.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08581,0,0
L1,P08908,30,5,25,2397,47,2350,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P08908,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08908/P08908_pocket.lmdb,3,15622937978465314807,20260908,7.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08908,0,0
L1,P08913,30,5,25,1122,22,1100,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P08913,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08913/P08913_pocket.lmdb,3,15865869800784578328,20260908,0.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08913,0,0
L1,P08922,30,5,25,1020,20,1000,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P08922,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08922/P08922_pocket.lmdb,3,6650501449691493565,20260908,1.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08922,0,0
L1,P09619,30,5,25,969,19,950,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P09619,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P09619/P09619_pocket.lmdb,3,233997679879216229,20260908,,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P09619,0,0
L1,P09874,30,5,25,8160,160,8000,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P09874,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P09874/P09874_pocket.lmdb,3,5805179225931380454,20260908,2.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P09874,0,0
L1,P0C6U8,30,5,25,612,12,600,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P0C6U8,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P0C6U8/P0C6U8_pocket.lmdb,3,13234338992569085694,20260908,3.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P0C6U8,0,0
L1,P0DMS8,30,5,25,3519,69,3450,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P0DMS8,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P0DMS8/P0DMS8_pocket.lmdb,3,1173945298862828248,20260908,4.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P0DMS8,0,0
L1,P0DTD1,30,5,25,21420,420,21000,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P0DTD1,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P0DTD1/P0DTD1_pocket.lmdb,3,7153696630106876826,20260908,5.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P0DTD1,0,0
L1,P10275,30,5,25,765,15,750,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P10275,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P10275/P10275_pocket.lmdb,3,10562348154439769010,20260908,6.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P10275,0,0
