layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,sampling_seed,status,reason,smina_n_scored,smina_coverage,smina_sample_failure_last_auroc,smina_sample_failure_last_ef1,smina_sample_failure_last_top_n,smina_sample_failure_last_top_active_expected,smina_scored_only_auroc,smina_scored_only_ef1,smina_scored_only_top_n,smina_scored_only_top_active_expected,pre_min_interaction_n_scored,pre_min_interaction_coverage,pre_min_interaction_sample_failure_last_auroc,pre_min_interaction_sample_failure_last_ef1,pre_min_interaction_sample_failure_last_top_n,pre_min_interaction_sample_failure_last_top_active_expected,pre_min_interaction_scored_only_auroc,pre_min_interaction_scored_only_ef1,pre_min_interaction_scored_only_top_n,pre_min_interaction_scored_only_top_active_expected,interaction_n_scored,interaction_coverage,interaction_sample_failure_last_auroc,interaction_sample_failure_last_ef1,interaction_sample_failure_last_top_n,interaction_sample_failure_last_top_active_expected,interaction_scored_only_auroc,interaction_scored_only_ef1,interaction_scored_only_top_n,interaction_scored_only_top_active_expected,composite_n_scored,composite_coverage,composite_sample_failure_last_auroc,composite_sample_failure_last_ef1,composite_sample_failure_last_top_n,composite_sample_failure_last_top_active_expected,composite_scored_only_auroc,composite_scored_only_ef1,composite_scored_only_top_n,composite_scored_only_top_active_expected
L1,P08581,30,5,25,3366,66,3300,7889594881604705424,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P08908,30,5,25,2397,47,2350,15622937978465314807,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P08913,30,5,25,1122,22,1100,15865869800784578328,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P08922,30,5,25,1020,20,1000,6650501449691493565,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P09619,30,5,25,969,19,950,233997679879216229,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P09874,30,5,25,8160,160,8000,5805179225931380454,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P0C6U8,30,5,25,612,12,600,13234338992569085694,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P0DMS8,30,5,25,3519,69,3450,1173945298862828248,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P0DTD1,30,5,25,21420,420,21000,7153696630106876826,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P10275,30,5,25,765,15,750,10562348154439769010,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P10415,30,5,25,714,14,700,16187265853620517750,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P10721,30,5,25,1989,39,1950,382365841233270984,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P11275,30,5,25,663,13,650,1953110932829522771,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P11309,30,5,25,2805,55,2750,7378823452953702938,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P11362,30,5,25,2856,56,2800,2478353088502295252,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P11511,30,5,25,714,14,700,17254379044815223500,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P11802,30,5,25,3621,71,3550,6841381618739368677,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P12931,30,5,25,4641,91,4550,9575941749556355993,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P13569,30,5,25,1020,20,1000,12394298575213865302,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P14324,30,5,25,510,10,500,4104969196265378627,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P14618,30,5,25,612,12,600,15835883321276272482,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P14679,30,5,25,561,11,550,15516697409820553207,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P14867,30,5,25,2295,45,2250,5091116423957603030,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P14902,30,5,25,2550,50,2500,3346426607353672171,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P14920,30,5,25,714,14,700,12131363367266365602,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
