layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,smina_rank
L2,Q06187,114484,8.301,1,-11.20516,,-67.73930737808176,-37.28903856774486,-693563.0156645093,-646372.8546113443,-47187.22359877857,-693559.8792313362,550,0.0019242140697315,True,3.039961606881586,3.213895939726477,3.0,4.0
L2,Q06187,118980,6.0,1,-10.94813,,-60.59735272714397,-31.77212063962969,-693700.8160735475,-646372.8546113443,-47325.33371228274,-693698.580164325,408,0.0019789249636232,True,2.8982231626006048,2.920962153546051,8.0,5.0
L2,Q06187,133412,7.3851,1,-11.44346,,-64.97026899909498,-29.200987303309063,-699259.8383606907,-646372.8546113443,-52884.16637182896,-699257.6695650935,522,0.0019903844222426,True,3.0086166570703337,3.016762324753418,4.0,2.0
L2,Q06187,133702,8.301,1,-10.01742,,-61.21276409532774,-30.00593978709092,-695101.575969389,-646372.8546113443,-48726.06692136161,-695098.708444039,600,0.0007492762524634,True,3.086937203227203,3.096770521381754,6.0,10.0
L2,Q06187,140872,8.2596,1,-11.36658,,-60.77240025458056,-10.89834190979784,-699251.7082836326,-646372.8546113443,-52876.21833158869,-699248.5889302859,1000,0.0067129344679415,False,2.809769916261021,2.835786688721623,7.0,3.0
L2,Q06187,146414,7.5607,1,-12.34466,,-69.39473420563263,-38.46487903720946,-702731.6391814272,-646372.8546113443,-56355.77532959498,-702728.94767338,706,0.0019987483974546,True,3.0761913236516083,3.0647386087745394,2.0,1.0
L2,Q14145,1372,7.699,6,-9.79888,,-100.85819037535192,-66.8110811292414,-808129.1655169256,-722630.9402952247,-85493.85159661989,-808126.6666559248,431,0.0018813236383721,True,2.739730231235295,2.699685947158094,5.0,10.0
L2,Q14145,15758,8.0,6,-10.59499,,-102.3371672091479,-61.58767633245164,-798859.6516839354,-722630.9402952247,-76224.2736291241,-798855.2236309936,359,0.0019005802460014,True,2.7595464439768387,2.8365161322938195,4.0,3.0
L2,Q14145,16948,7.699,6,-10.28604,,-100.74034533026196,-53.26499267325156,-813528.2167588203,-722630.9402952247,-90892.90794875944,-813524.9982858903,211,0.0019993705209344,True,2.658326325423168,2.803622233519487,6.0,4.0
L2,Q14145,41332,7.699,6,-9.88532,,-114.4528218783156,-58.94458287631279,-816228.6158953048,-722630.9402952247,-93592.71245598148,-816225.5578916082,649,0.0019988575950264,True,2.777249521743668,2.8058088593345274,2.0,8.0
