model,dataset,geometry,reference,n,mae,rmse,bias,max_abs_error,pearson,spearman
aimnet2_2025_member2,KIN66,released_xyz,int_wb97m_dzvpd_estimated,50,12.831343993709636,13.240574518192247,12.831343993709636,18.896766429449293,0.9228452459860297,0.874765906362545
aimnet2_2025_member2,KIN66,released_xyz,AIMNet2_2025_interaction,66,2.370583726240719,2.6451880291408094,-0.4150586622472498,6.293034619733689,0.9867939769758903,0.9689802734578855
aimnet2_2025_member2,PLA15,matched_complex_coordinates,int_b973c,15,3.269737335801086,4.182091984083987,1.0365981147791266,8.818821149042606,0.9982967072750726,0.9892857142857142
aimnet2_2025_member2,PLA15,matched_complex_coordinates,int_wb97m,15,15.747783660779128,17.503498531627773,15.747783660779128,31.41229194904261,0.9950874993707224,0.9642857142857141
aimnet2_2025_member2,PLA15,matched_complex_coordinates,int_wb97m_dzvpd,15,19.15723929277913,20.770487291430598,19.15723929277913,33.61951824904261,0.9939924485269254,0.9714285714285713
aimnet2_2025_member2,PLA15,matched_complex_coordinates,AIMNet2_2025_interaction,15,2.148450026919438,2.912106523620048,-1.881466573220872,7.616043559690127,0.9994177102138194,0.9964285714285712
aimnet2_2025_member2,PLA15,matched_complex_coordinates,PLA15_reference_interaction,15,8.060092086071144,9.340484667238949,7.452058051445795,17.79838524904261,0.9965830381201571,0.9785714285714284
aimnet2_2025_member2,PLA15,released_xyz,int_b973c,15,3.2699028583828995,4.182215566163231,1.0373269045911229,8.81905436755477,0.9982965727648407,0.9892857142857142
aimnet2_2025_member2,PLA15,released_xyz,int_wb97m,15,15.748512450591123,17.50385827369097,15.748512450591123,31.412525167554776,0.9950881472147497,0.9642857142857141
aimnet2_2025_member2,PLA15,released_xyz,int_wb97m_dzvpd,15,19.15796808259113,20.77096905535054,19.15796808259113,33.61975146755478,0.9939929029195765,0.9714285714285713
aimnet2_2025_member2,PLA15,released_xyz,AIMNet2_2025_interaction,15,2.147649527206257,2.911207109043768,-1.8807377834088754,7.615909119565231,0.9994179813250527,0.9964285714285712
aimnet2_2025_member2,PLA15,released_xyz,PLA15_reference_interaction,15,8.060802950533153,9.340766506757264,7.452786841257791,17.798618467554775,0.9965834890581953,0.9785714285714284
aimnet2_2025_member3,KIN66,matched_complex_coordinates,int_b973c,66,1.9602811896242758,2.618326153837798,1.4218036836179297,7.70932119338039,0.9776968466487308,0.9637616115228057
aimnet2_2025_member3,KIN66,matched_complex_coordinates,int_wb97m,66,9.646590866496718,10.41030541157601,9.646590866496718,19.781752113380392,0.949967084955963,0.9215113244963992
aimnet2_2025_member3,KIN66,matched_complex_coordinates,int_wb97m_dzvpd,20,15.689611044281296,16.397661184960615,15.689611044281296,23.166166273380398,0.9251675592518217,0.900751879699248
aimnet2_2025_member3,KIN66,matched_complex_coordinates,int_wb97m_dzvpd_estimated,50,10.88308168469302,11.134859780129135,10.88308168469302,16.35570806864171,0.9452131730153204,0.9087635054021608
aimnet2_2025_member3,KIN66,matched_complex_coordinates,AIMNet2_2025_interaction,66,1.1643942025418745,1.438629037573452,-1.1226649003214642,3.0963431251856406,0.9959612255654383,0.9890616845840726
aimnet2_2025_member3,KIN66,released_xyz,int_b973c,66,1.9659257431430965,2.6240864552923937,1.4185742906758847,7.721905922777722,0.977507158196549,0.9641373551821314
aimnet2_2025_member3,KIN66,released_xyz,int_wb97m,66,9.643361473554673,10.40970026569363,9.643361473554673,19.794336842777724,0.9497557806303828,0.9216365723828411
aimnet2_2025_member3,KIN66,released_xyz,int_wb97m_dzvpd,20,15.69626390472379,16.404173968107553,15.69626390472379,23.17875100277773,0.9251089246678913,0.9037593984962405
aimnet2_2025_member3,KIN66,released_xyz,int_wb97m_dzvpd_estimated,50,10.876650669416604,11.129649455540694,10.876650669416604,16.316643039734657,0.9449318771912326,0.9084753901560624
aimnet2_2025_member3,KIN66,released_xyz,AIMNet2_2025_interaction,66,1.169981180796296,1.4434549828950642,-1.1258942932635094,3.1288283528458862,0.9959279442970784,0.9888946874021504
aimnet2_2025_member3,PLA15,matched_complex_coordinates,int_b973c,15,4.489188554082365,5.157186652622241,3.6733926599985067,10.463063996712037,0.9987948014068316,0.9964285714285712
aimnet2_2025_member3,PLA15,matched_complex_coordinates,int_wb97m,15,18.384578205998505,19.938087537737886,18.384578205998505,34.4562225583272,0.9952317376537887,0.9571428571428571
aimnet2_2025_member3,PLA15,matched_complex_coordinates,int_wb97m_dzvpd,15,21.79403383799851,23.309580652887185,21.79403383799851,35.263761096712045,0.9937797244063659,0.9714285714285713
