dataset,target,mol_id,aimnet_interaction_kcal_mol_delta,desolvation_kcal_mol_delta,local_strain_kcal_mol_delta,aimnet2_composite_kcal_mol_delta
t3,L1/Q96MU7,88977,-17.88579252188083,-1.3745157616540382e-06,0.0,-17.885793896396592
t3,L1/Q96MU7,110901,3.393578035876473,2.7490315233080764e-06,0.0,3.3935807849079964
t3,L1/Q96MU7,140320,-1.420721471536904,-4.26099886148279e-05,0.0,-1.420764081525519
t3,L1/Q9UBN7,18571,-7.427839880029463,-0.690977320536323,0.0,-8.118817200565793
t3,L1/Q9UBN7,27234,-1.2433402245612015,3.0239346759053376e-05,0.0,-1.243309985214438
t3,L1/Q9UBN7,29334,29.90362815536311,-34.65109924470175,0.0,-4.747471089338646
t3,L1/Q9UBN7,42051,-1.1028430664273614,5.498063046616153e-06,0.0,-1.102837568364322
t3,L1/Q9UBN7,43508,8.473818195737095,1.0996126093232306e-05,0.0,8.473829191863189
t3,L1/Q9UBN7,67143,-2.1690697041114433,3.1512478238120707,0.0,0.9821781197006203
t3,L1/Q9UBN7,83097,-23.01610904911867,-55.11443133311175,0.0,-78.13054038223041
t3,L1/Q9UBN7,92479,2.862476495938111,2.4741283711549045e-05,0.0,2.862501237221821
t3,L1/Q9UBN7,133621,11.995384621893159,-37.02332977984801,0.0,-25.027945157954868
t3,L1/Q9UBN7,143030,11.804397382993727,0.7493598775175041,0.0,12.553757260511233
t3,L2/O14757,4906,-7.807383535428588,-2.0271949496360797,0.0,-9.834578485064668
t3,L2/O14757,10681,-10.454972367514266,0.00014294963922267812,0.0,-10.45482941787504
t3,L2/O14757,55958,-16.34503630969786,0.27491552299584754,0.0,-16.070120786702013
t3,L2/O14757,60774,-15.522875884062293,-2.1655482081527957,0.0,-17.688424092215087
t3,L2/O14757,60923,-15.364092521258907,-1.9703793406233192,0.0,-17.33447186188223
t3,L2/O14757,64281,-3.3181923846893717,1.8718348075989812,0.0,-1.446357577090385
t3,L2/O14757,72416,-13.686526272023144,-2.3366767951671363e-05,0.0,-13.686549638791092
t3,L2/O14757,111705,-3.284759694522471,-0.594337866357801,0.0,-3.8790975608802736
t3,L2/O14757,124280,-11.101103369673977,-2.397536229392802,0.0,-13.498639599066784
t3,L2/O14757,126650,21.183014272617914,-3.484732837932693,0.0,17.69828143468522
t3,L2/O43318,8508,18.029312946224888,1.3316679819282964,0.0,19.360980928153182
