mol_id,source_index,label,paff,formal_charge,smina_affinity_kcal_mol,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_eV,aimnet_interaction_kcal_mol,aimnet_score,aimnet_rank,smina_rank
40137,109,0,,0,-7.06686,-262142.3318762191,-194591.70549166933,-67549.13793639599,-1.4884481537883405,-34.32442984383257,34.32442984383257,132.0,213.0
74084,130,0,,0,-7.80151,-249148.31914780368,-194591.70551983043,-54555.1270744002,-1.486553573042329,-34.2807397739202,34.2807397739202,133.0,154.0
109281,235,0,,0,-6.84819,-249317.80781114192,-194591.70551983043,-54724.61583982195,-1.4864514895380123,-34.2783856723862,34.2783856723862,134.0,227.0
47560,127,0,,0,-6.87224,-246588.3881771001,-194591.70551983043,-51995.198447810646,-1.4842094590276247,-34.22668322056369,34.22668322056369,135.0,225.0
26394,155,0,,0,-7.4164,-238404.96504801692,-194591.70551983043,-43811.78936233418,-1.4701658523408696,-33.902829956849374,33.902829956849374,136.0,189.0
106823,63,0,,0,-8.93478,-230627.66777557263,-194591.70551983043,-36034.49285364142,-1.4694021008035634,-33.885217427992615,33.885217427992615,137.0,28.0
19506,184,0,,0,-8.5662,-249042.0781344826,-194591.70550220693,-54448.90438625406,-1.468246021628147,-33.85855760887194,33.85855760887194,138.0,61.0
3204,227,0,,0,-6.99335,-234913.7204560817,-194591.70551983043,-40320.55001868582,-1.4649175654558348,-33.78180158610822,33.78180158610822,139.0,221.0
11553,91,0,,0,-8.02529,-225599.37766178808,-194591.70551983043,-31006.216596192644,-1.4555457650058088,-33.56568273357138,33.56568273357138,140.0,132.0
116841,139,0,,0,-8.14995,-230119.15634034207,-194591.70551983043,-35526.01972527496,-1.431095236686815,-33.00184015578732,33.00184015578732,141.0,117.0
122856,106,0,,0,-8.29279,-246600.9163444352,-194591.70551983043,-52007.78909040666,-1.4217341980984202,-32.785969477675366,32.785969477675366,142.0,94.0
136414,43,1,8.0,0,-8.95921,-240293.49817204016,-194591.70551983043,-45700.37541711222,-1.417235097505909,-32.682217753267,32.682217753267,143.0,25.0
19262,200,0,,0,-7.28342,-241805.5168266676,-194591.70550220693,-47212.40036787096,-1.4109565897088032,-32.53743192390692,32.53743192390692,144.0,202.0
49481,20,1,8.0,0,-8.66644,-233075.87360193097,-194591.70550220693,-38482.75859598556,-1.4095037384904572,-32.50392837889548,32.50392837889548,145.0,51.0
1118,224,0,,0,-9.22828,-242062.9450517092,-194591.70550220693,-47469.83177582001,-1.4077736822873703,-32.46403233507454,32.46403233507454,146.0,10.0
41583,45,1,8.0,0,-8.46436,-232582.73464399425,-194591.70549166933,-37989.62410047623,-1.4050518486910732,-32.40126536124014,32.40126536124014,147.0,76.0
55324,73,0,,0,-7.92625,-240520.29730435828,-194591.70549166933,-45927.18683577391,-1.4049769150369684,-32.39953735012554,32.39953735012554,148.0,142.0
96363,116,0,,0,-7.62324,-267225.06402251846,-194591.70550220693,-72631.96148687278,-1.3970334387558978,-32.21635643540452,32.21635643540452,149.0,175.0
112462,44,1,8.0,0,-8.48718,-233615.60300377617,-194591.70550220693,-39022.50069996686,-1.396801602379128,-32.21101016154914,32.21101016154914,150.0,73.0
22794,85,0,,0,-7.85829,-252599.7059654233,-194591.70549166933,-58006.60817199252,-1.3923017614069977,-32.10724136358115,32.10724136358115,151.0,149.0
60570,176,0,,0,-7.03141,-247508.8491289308,-194591.70550220693,-52915.7631652826,-1.3804614412511,-31.834197094296236,31.834197094296236,152.0,216.0
80302,16,1,8.0,0,-8.10519,-232582.5284465499,-194591.70550220693,-37989.45421099687,-1.3687333461057278,-31.563740795234327,31.563740795234327,153.0,122.0
72902,152,0,,0,-9.56969,-265560.89187052206,-194591.70550220693,-70967.83190603569,-1.3544622794433965,-31.23464217987368,31.23464217987368,154.0,5.0
101684,178,0,,0,-9.64457,-245225.43285058063,-194591.70551983043,-50632.38206720535,-1.3452635448848014,-31.02251432160403,31.02251432160403,155.0,3.0
119060,54,1,8.0,0,-8.05164,-233075.0525431824,-194591.70551983043,-38482.00991372194,-1.3371096300470526,-30.834480578481333,30.834480578481333,156.0,126.0
